county,year,total_postings,mention_specialized,mention_software,mention_common,n_corporate,n_university,n_federal_lab,n_government,n_staffing,n_unclassified,n_remote,n_hybrid,n_onsite,share_remote,share_hybrid,share_onsite,share_specialized,share_software,share_common,mean_skills_per_posting,n_distinct_skills,n_rca_skills,avg_ubiquity,skill_hhi,skill_entropy,eci,fitness,skill_density,skill_coherence,avg_centrality,corp_n_rca_skills,univ_n_rca_skills,fede_n_rca_skills,gove_n_rca_skills,staf_n_rca_skills,rucc_2023,rucc_tier
01071,2010,798,3249,189,2390,570,3,1,0,28,196,8,0,790,,,0.989975,0.557481,0.0324297,0.410089,7.30326,1158.0,873.0,692.557,0.00730381,8.7615,-1.00682,1.19171e-9,0.0307994,0.21548,0.0622054,302.0,,,,8.0,6,nonmetro_adjacent
01073,2010,41753,178002,25562,110740,16455,467,91,168,5324,19248,1502,100,40145,,,0.961488,0.566337,0.0813289,0.352334,7.5277,8176.0,4025.0,287.974,0.00377904,10.214,-0.170323,0.0353405,0.173903,0.11819,0.0739782,2271.0,262.0,131.0,173.0,1182.0,1,large_metro
01075,2010,95,443,37,333,80,0,0,0,0,15,2,0,93,,,0.978947,0.544895,0.0455105,0.409594,8.55789,328.0,293.0,798.664,0.00755103,7.83118,-0.341005,1.29673e-10,0.010423,0.209375,0.0574355,60.0,,,,,8,nonmetro_adjacent
01077,2010,1608,5015,261,4011,924,42,1,2,70,569,39,2,1567,,,0.974503,0.540002,0.0281038,0.431894,5.7755,1389.0,1001.0,683.133,0.00888405,8.68032,-1.0991,1.89386e-9,0.0356415,0.219884,0.0638734,330.0,27.0,,,45.0,3,small_metro
01079,2010,207,921,135,1077,135,0,0,0,7,65,2,0,204,,,0.985507,0.431786,0.0632911,0.504923,10.3043,457.0,389.0,735.446,0.00835068,7.96157,-0.448756,1.79927e-9,0.0144538,0.188322,0.0604638,153.0,,,,,3,small_metro
01081,2010,5198,16041,1437,13219,1665,228,10,10,202,3083,301,8,4888,,,0.940362,0.522559,0.0468124,0.430628,5.90554,3041.0,2015.0,468.78,0.00597485,9.4706,-1.32478,0.00000352848,0.0774535,0.161207,0.0694888,563.0,183.0,1.0,1.0,123.0,3,small_metro
01083,2010,941,3293,199,2576,527,18,0,4,56,336,16,5,918,,,0.975558,0.542683,0.032795,0.424522,6.44846,1117.0,827.0,706.25,0.00792529,8.66419,-1.00278,1.04686e-9,0.0291989,0.210275,0.0617302,243.0,22.0,,,48.0,2,small_metro
01085,2010,40,248,12,157,28,0,0,1,2,9,1,0,39,,,0.975,0.594724,0.028777,0.376499,10.425,225.0,210.0,832.201,0.00804536,7.48366,-0.196522,2.0869e-11,0.00763475,0.211507,0.0581759,23.0,,,,,2,small_metro
01087,2010,556,3600,158,2000,47,247,0,67,7,188,13,0,543,,,0.976619,0.625217,0.0274401,0.347343,10.3561,1042.0,867.0,622.845,0.00448445,8.94605,-0.853276,2.54597e-8,0.032382,0.198337,0.064364,50.0,265.0,,81.0,,3,small_metro
01089,2010,28795,186805,31292,90529,14867,537,787,114,1831,10659,728,389,27671,,,0.960965,0.60528,0.101391,0.293329,10.718,7609.0,3633.0,197.417,0.00283216,10.4112,1.09991,0.177077,0.165556,0.111025,0.0744284,2278.0,200.0,546.0,103.0,913.0,2,small_metro
01091,2010,502,1677,86,1117,375,0,0,2,7,118,15,0,487,,,0.97012,0.582292,0.0298611,0.387847,5.73705,562.0,441.0,797.463,0.0114267,7.87868,-0.572168,1.9265e-10,0.0151892,0.222893,0.0574773,130.0,,,,1.0,6,nonmetro_adjacent
01093,2010,543,1846,63,918,374,0,0,0,22,147,4,0,539,,,0.992634,0.652989,0.0222851,0.324726,5.20626,543.0,428.0,923.849,0.00910006,8.01989,-0.625605,7.11939e-12,0.0142617,0.277824,0.0566817,186.0,,,,11.0,9,rural
01095,2010,1605,6609,230,4851,1248,4,0,0,43,310,19,3,1583,,,0.986293,0.565355,0.0196749,0.41497,7.28349,1273.0,902.0,737.367,0.00978583,8.49609,-1.11118,6.63581e-10,0.0306294,0.237271,0.0614661,475.0,2.0,,,21.0,4,nonmetro_adjacent
01097,2010,23661,80750,8204,45271,10455,477,16,179,3030,9504,369,53,23234,,,0.981953,0.601602,0.0611213,0.337277,5.67284,6182.0,3621.0,334.77,0.00368367,10.2082,-0.810003,0.00261222,0.146543,0.129148,0.0724178,1698.0,254.0,13.0,54.0,640.0,2,small_metro
01099,2010,423,1405,58,857,271,1,0,2,10,139,1,0,422,,,0.997636,0.605603,0.025,0.369397,5.48463,446.0,356.0,958.351,0.010988,7.70474,-0.553315,5.82598e-12,0.0117077,0.28111,0.0551667,150.0,,,,2.0,8,nonmetro_adjacent
10999,2010,2865,6673,1041,3082,1080,24,5,15,589,1152,11,1,2853,,,0.995812,0.618099,0.0964246,0.285476,3.76824,2036.0,1430.0,395.602,0.00542936,9.56882,-0.627243,0.000014466,0.0600981,0.143502,0.0707407,269.0,2.0,1.0,1.0,110.0,,
11001,2010,139969,1145264,248860,589837,55758,3448,921,1768,15401,62673,4786,692,134409,,,0.960277,0.577261,0.125436,0.297303,14.1743,14289.0,6290.0,118.689,0.00250337,10.6937,4.43338,46.1524,0.29497,0.098155,0.0734353,5162.0,1531.0,769.0,993.0,2993.0,1,large_metro
01101,2010,7675,40006,5797,22320,3781,118,12,94,661,3009,186,33,7454,,,0.971205,0.587261,0.0850961,0.327643,8.87596,4529.0,2732.0,335.459,0.00346491,10.1807,-0.644198,0.0000571858,0.114475,0.138145,0.0734786,1259.0,56.0,20.0,75.0,408.0,2,small_metro
01103,2010,3316,12343,779,8427,1771,66,0,5,135,1339,116,12,3187,,,0.961098,0.572788,0.0361502,0.391062,6.49849,2383.0,1644.0,549.802,0.00577694,9.38347,-1.38987,3.50384e-8,0.0605411,0.180976,0.0673681,668.0,23.0,,1.0,112.0,3,small_metro
01105,2010,126,304,0,260,77,4,0,0,4,41,0,0,126,,,1.0,0.539007,0.0,0.460993,4.47619,168.0,158.0,1226.15,0.0192269,6.5831,-0.206103,1.54574e-12,0.00507728,0.338335,0.0515184,46.0,,,,,8,nonmetro_adjacent
01107,2010,417,1141,41,1090,349,0,0,1,2,65,0,0,417,,,1.0,0.502201,0.0180458,0.479754,5.44844,395.0,339.0,1027.87,0.0146262,7.41243,-0.554446,1.83038e-12,0.0109608,0.307534,0.0544413,165.0,,,,,2,small_metro
01109,2010,601,2640,320,1920,339,60,0,1,16,185,18,0,583,,,0.97005,0.540984,0.0655738,0.393443,8.1198,970.0,722.0,650.922,0.00671451,8.78322,-0.775113,1.07016e-7,0.0264092,0.182018,0.0616569,239.0,33.0,,,,6,nonmetro_adjacent
01111,2010,263,968,45,796,197,2,0,0,7,57,15,0,248,,,0.942966,0.535102,0.0248756,0.440022,6.87833,359.0,296.0,1082.67,0.0106167,7.53787,-0.497823,8.14223e-13,0.00935696,0.31764,0.0528162,132.0,,,,,8,nonmetro_adjacent
01113,2010,693,2223,156,1925,456,8,0,0,33,196,5,2,685,,,0.988456,0.516496,0.0362454,0.447258,6.21068,815.0,622.0,770.929,0.00944958,8.24048,-0.767133,4.38061e-10,0.0220412,0.231222,0.0608925,222.0,11.0,,,16.0,2,small_metro
01115,2010,675,2534,130,1600,362,0,0,0,32,281,8,4,663,,,0.982222,0.594278,0.0304878,0.375235,6.31704,851.0,668.0,775.492,0.00572576,8.62685,-0.885408,1.30147e-10,0.0234336,0.22915,0.0607239,248.0,,,,18.0,1,large_metro
01117,2010,6404,24155,2840,17103,3305,45,5,12,544,2493,153,30,6220,,,0.971268,0.547757,0.064402,0.387841,6.88601,4115.0,2412.0,406.475,0.0052918,9.75336,-0.996885,0.000246278,0.0985105,0.145793,0.0722552,814.0,18.0,5.0,1.0,258.0,1,large_metro
01119,2010,255,1498,104,747,68,2,0,20,13,152,6,2,247,,,0.968627,0.637718,0.0442742,0.318008,9.21176,629.0,489.0,686.973,0.00785621,8.22081,-0.457015,2.77398e-9,0.018506,0.189031,0.0622729,48.0,,,19.0,6.0,8,nonmetro_adjacent
01121,2010,1051,4611,279,3077,688,33,0,2,75,253,16,2,1031,,,0.980971,0.578762,0.0350195,0.386218,7.5804,1236.0,971.0,658.589,0.00589996,8.92946,-1.08453,2.24868e-9,0.0350915,0.194608,0.0633193,415.0,34.0,,,60.0,4,nonmetro_adjacent
01123,2010,616,1894,52,1460,433,0,0,0,31,152,4,0,612,,,0.993506,0.556078,0.0152672,0.428655,5.52922,487.0,367.0,1020.62,0.0118678,7.66186,-0.63657,1.71756e-11,0.0116082,0.300118,0.0535885,176.0,,,,14.0,6,nonmetro_adjacent
01125,2010,3903,17336,1350,11607,1729,258,1,54,313,1548,127,11,3763,,,0.96413,0.572277,0.0445648,0.383158,7.76147,2856.0,1933.0,485.06,0.00472584,9.63428,-1.35412,0.00000683825,0.0732368,0.16391,0.0686383,661.0,148.0,,72.0,192.0,2,small_metro
01127,2010,648,2480,45,1905,472,5,0,0,19,152,38,0,609,,,0.939815,0.559819,0.010158,0.430023,6.83642,654.0,495.0,890.596,0.0115871,7.9144,-0.75241,2.4117e-11,0.0166012,0.260143,0.0574393,219.0,1.0,,,7.0,1,large_metro
01129,2010,274,1862,328,868,193,0,0,0,15,66,0,0,274,,,1.0,0.608895,0.10726,0.283846,11.1606,861.0,699.0,420.41,0.00457687,8.9662,-0.256484,0.0000278469,0.0296159,0.133917,0.0680416,199.0,,,,4.0,8,nonmetro_adjacent
01131,2010,106,271,12,282,65,0,0,0,11,30,11,4,91,,,0.858491,0.479646,0.0212389,0.499115,5.33019,224.0,208.0,906.024,0.0156535,6.95637,-0.234738,8.24296e-12,0.00752008,0.223001,0.0579015,32.0,,,,2.0,9,rural
01133,2010,239,1009,100,577,170,0,0,0,14,55,5,0,234,,,0.979079,0.598458,0.059312,0.34223,7.05439,427.0,361.0,888.711,0.0110828,7.77683,-0.495134,6.36768e-11,0.0118982,0.29404,0.0551753,113.0,,,,10.0,8,nonmetro_adjacent
11999,2010,394,3914,886,1519,279,17,3,0,10,85,29,18,347,,,0.880711,0.619402,0.140212,0.240386,16.0381,1066.0,788.0,298.274,0.00367919,9.16891,-0.0408032,0.00000108421,0.0343016,0.143022,0.0709666,349.0,23.0,,,5.0,,
12001,2010,11191,59628,6647,35671,3661,1835,13,245,522,4915,312,31,10844,,,0.968993,0.584898,0.0652012,0.349901,9.10964,5682.0,3557.0,323.416,0.00326244,10.2664,-0.581363,0.0138779,0.148032,0.128005,0.0731912,1201.0,932.0,14.0,227.0,267.0,2,small_metro
12003,2010,307,1161,65,1009,213,0,1,1,5,87,2,0,305,,,0.993485,0.519463,0.0290828,0.451454,7.28013,510.0,420.0,910.021,0.0117442,7.82808,-0.627481,2.29158e-11,0.0142905,0.257389,0.0573743,136.0,,,,,1,large_metro
12005,2010,7538,27812,2707,18920,2837,18,26,49,337,4271,276,45,7215,,,0.95715,0.562552,0.0547543,0.382694,6.55864,3840.0,2414.0,419.426,0.00441235,9.80867,-1.13975,0.000490806,0.0944239,0.146721,0.0701709,970.0,32.0,16.0,14.0,242.0,3,small_metro
12007,2010,318,2155,37,777,129,1,0,2,53,133,1,0,315,,,0.990566,0.725834,0.0124621,0.261704,9.33648,536.0,423.0,879.4,0.00566299,8.24945,-0.586575,1.9765e-11,0.0141239,0.292069,0.056854,206.0,,,,137.0,6,nonmetro_adjacent
12009,2010,14336,86141,13041,46367,8236,147,53,49,1648,4203,241,148,13942,,,0.972517,0.591835,0.0895987,0.318566,10.1527,5930.0,3308.0,288.938,0.00295409,10.3483,-0.0566238,0.00948569,0.143475,0.122262,0.0737971,1788.0,64.0,123.0,26.0,940.0,2,small_metro
12011,2010,56032,339604,57711,213824,29002,1903,9,255,6278,18585,923,197,54883,,,0.979494,0.55569,0.0944319,0.349878,10.907,9361.0,4024.0,242.398,0.00332388,10.3519,0.742913,1.03776,0.18397,0.110135,0.0746959,2820.0,825.0,1.0,206.0,1594.0,1,large_metro
12013,2010,74,195,10,159,42,0,0,1,2,29,0,0,74,,,1.0,0.535714,0.0274725,0.436813,4.91892,171.0,159.0,1206.75,0.0147325,6.88123,-0.244319,1.55006e-13,0.00493998,0.334374,0.0497667,25.0,,,,,8,nonmetro_adjacent
12015,2010,2810,12314,463,7845,1766,8,0,9,223,804,29,16,2764,,,0.98363,0.597129,0.0224518,0.380419,7.33879,1955.0,1346.0,589.737,0.00574311,9.03985,-1.23876,3.22922e-8,0.049036,0.197821,0.0662244,543.0,1.0,,2.0,122.0,3,small_metro
12017,2010,1535,6129,241,3604,745,4,0,5,105,676,8,1,1525,,,0.993485,0.614498,0.0241628,0.361339,6.49772,1371.0,1036.0,683.386,0.00570257,8.95496,-1.18175,6.05257e-9,0.0360777,0.216368,0.062778,474.0,,,,25.0,3,small_metro
12019,2010,2988,13176,788,9879,2370,138,0,2,72,406,27,12,2948,,,0.986613,0.552615,0.0330495,0.414335,7.97959,1952.0,1236.0,592.406,0.0069507,9.02267,-1.11551,1.47822e-8,0.0459817,0.194872,0.0665004,657.0,86.0,,,86.0,1,large_metro
12021,2010,13082,90355,7764,51878,6831,17,33,34,563,5604,229,79,12773,,,0.97638,0.602379,0.051761,0.34586,11.4659,5859.0,3171.0,285.594,0.00448288,9.94708,0.0413851,0.00806857,0.143256,0.123908,0.0757998,1771.0,4.0,53.0,11.0,463.0,2,small_metro
12023,2010,1785,6814,233,3941,874,10,0,66,126,709,49,3,1733,,,0.970868,0.620131,0.021205,0.358664,6.15574,1518.0,1148.0,650.178,0.00521078,9.12283,-1.22653,1.69607e-8,0.0402519,0.211328,0.0636736,394.0,8.0,,95.0,70.0,4,nonmetro_adjacent
12027,2010,364,1747,57,1226,196,1,0,47,3,117,0,1,363,,,0.997253,0.576568,0.0188119,0.40462,8.32418,684.0,531.0,795.497,0.0076938,8.24473,-0.651607,5.95773e-10,0.019058,0.226979,0.0606,128.0,,,50.0,,6,nonmetro_adjacent
12029,2010,87,506,24,389,60,3,1,0,3,20,1,0,86,,,0.988506,0.550599,0.0261153,0.423286,10.5632,295.0,260.0,868.625,0.00772117,7.63406,-0.280463,2.65293e-10,0.00938959,0.21895,0.0581616,78.0,,,,,8,nonmetro_adjacent
12031,2010,41518,303652,66012,164797,19321,1282,20,270,6664,13961,1094,115,40296,,,0.970567,0.568146,0.123511,0.308342,12.873,9320.0,3949.0,189.099,0.00274059,10.457,1.40692,0.201543,0.186908,0.111869,0.0765956,2875.0,571.0,50.0,187.0,1414.0,1,large_metro
12033,2010,11466,56427,4511,34309,6766,48,19,73,952,3608,272,76,11117,,,0.969562,0.592428,0.0473611,0.360211,8.30691,4802.0,2785.0,384.474,0.00388359,9.94179,-0.910895,0.0000786365,0.112715,0.143251,0.0724767,1391.0,28.0,27.0,50.0,471.0,2,small_metro
12035,2010,1192,4414,343,2955,704,2,0,4,109,373,37,6,1149,,,0.963926,0.572355,0.0444761,0.383169,6.4698,1307.0,989.0,627.878,0.00497127,9.05923,-1.01023,4.34739e-9,0.0363255,0.201381,0.0644989,308.0,,,2.0,85.0,2,small_metro
12037,2010,103,447,2,194,71,0,0,0,6,26,1,0,102,,,0.990291,0.695179,0.00311042,0.301711,6.24272,187.0,170.0,1015.73,0.0117669,6.91614,-0.186057,1.33588e-12,0.00575451,0.295073,0.054124,54.0,,,,4.0,8,nonmetro_adjacent
12039,2010,793,2735,120,2273,574,4,0,1,28,186,12,1,780,,,0.983607,0.533346,0.0234009,0.443253,6.46658,866.0,658.0,804.094,0.0102546,8.26736,-0.91796,6.87629e-11,0.0225251,0.240757,0.0597126,270.0,8.0,,,12.0,2,small_metro
12041,2010,85,339,22,122,50,0,0,1,10,24,0,0,85,,,1.0,0.701863,0.0455487,0.252588,5.68235,159.0,143.0,904.171,0.0146213,6.7431,-0.157634,5.49603e-12,0.00462805,0.252205,0.0509175,38.0,,,,6.0,2,small_metro
12043,2010,151,486,29,310,117,0,1,16,2,15,0,0,151,,,1.0,0.589091,0.0351515,0.375758,5.46358,247.0,220.0,1070.59,0.00786777,7.48534,-0.310765,1.12847e-12,0.00729562,0.296996,0.0537754,65.0,,,13.0,,8,nonmetro_adjacent
12045,2010,145,383,10,359,68,0,0,0,9,68,1,1,143,,,0.986207,0.509309,0.0132979,0.477394,5.18621,274.0,252.0,1096.93,0.0123253,7.30325,-0.41819,4.84207e-12,0.00814504,0.304903,0.0530566,55.0,,,,2.0,8,nonmetro_adjacent
12047,2010,98,222,0,176,29,2,0,0,23,44,0,0,98,,,1.0,0.557789,0.0,0.442211,4.06122,129.0,123.0,1302.38,0.0223984,6.30027,-0.146887,1.44482e-13,0.00388476,0.370348,0.0500075,24.0,,,,6.0,8,nonmetro_adjacent
